RelError;11;16.75;16.75;11;11;16.75;16.75;16.75;16.75;11;16.75;11;11;11;16.75;11;11;16.75;11;11;16.75;16.75;11;16.75;16.75;11;16.75;11;11;11;11;16.75;11;16.75;16.75;11;11;11;11;11;11;16.75;16.75;16.75;16.75;16.75;11;11;11;11;11;11;11;11;11;16.75;11;11;11;11;11;16.75;16.75;16.75;11;11;11;16.75;11;16.75;11;11;11;16.75;11;11;11;11;11;11;11;11;11;11;11;11;11;11;16.75;11;11;11;11;16.75;11;16.75;16.75;11;11;11;
TaskPerf;0.423333;0.3175;0.375;0.423333;0.193333;0.26;0.375;0.3175;0.26;0.346667;0.4325;0.27;0.27;0.27;0.145;0.27;0.346667;0.145;0.576667;0.27;0.26;0.375;0.5;0.26;0.145;0.423333;0.4325;0.576667;0.423333;0.346667;0.346667;0.26;0.27;0.2025;0.375;0.193333;0.423333;0.423333;0.423333;0.5;0.5;0.145;0.2025;0.26;0.3175;0.375;0.193333;0.576667;0.423333;0.27;0.5;0.5;0.5;0.423333;0.346667;0.375;0.27;0.5;0.27;0.5;0.346667;0.375;0.3175;0.2025;0.5;0.423333;0.423333;0.2025;0.193333;0.26;0.346667;0.5;0.423333;0.26;0.5;0.5;0.27;0.346667;0.423333;0.27;0.193333;0.27;0.346667;0.346667;0.346667;0.346667;0.346667;0.576667;0.375;0.27;0.423333;0.116667;0.5;0.375;0.346667;0.26;0.26;0.5;0.27;0.27;
TaskPerfAv;0.30731
Variance;2211
MeanSquareDeviation;47.0213

PModel;Intel(R) Core(TM) i7-4700MQ
Task;Sh
OpType;double
Opt;None
InsCount;129;129;109;129;129;69;69;89;129;149;109;109;49;69;149;149;149;89;149;89;69;109;69;109;49;129;49;89;109;89;89;129;109;149;49;109;109;49;129;69;89;89;149;129;149;149;89;49;109;89;109;69;129;149;109;129;109;29;129;149;69;89;109;149;109;129;89;129;129;69;49;69;69;149;69;89;69;129;129;109;109;129;89;129;129;129;89;69;109;89;129;129;89;69;69;89;89;69;69;149;
Timer;std::chrono::high_resolution_clock::now
Time;600;700;700;500;600;600;500;600;500;700;600;400;500;500;600;600;600;500;600;500;600;500;500;500;500;600;500;500;500;500;500;500;600;600;500;500;500;500;400;500;500;500;600;600;500;600;500;500;500;500;600;500;500;500;500;400;600;500;500;400;500;500;500;500;600;500;600;500;500;500;500;500;500;500;500;600;500;500;600;500;500;500;600;500;600;600;500;500;600;600;500;600;500;500;500;600;500;500;500;500;
Lnum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;
AvTime;531
AbsError;69;169;169;31;69;69;31;69;31;169;69;131;31;31;69;69;69;31;69;31;69;31;31;31;31;69;31;31;31;31;31;31;69;69;31;31;31;31;131;31;31;31;69;69;31;69;31;31;31;31;69;31;31;31;31;131;69;31;31;131;31;31;31;31;69;31;69;31;31;31;31;31;31;31;31;69;31;31;69;31;31;31;69;31;69;69;31;31;69;69;31;69;31;31;31;69;31;31;31;31;
RelError;11.5;24.1429;24.1429;6.2;11.5;11.5;6.2;11.5;6.2;24.1429;11.5;32.75;6.2;6.2;11.5;11.5;11.5;6.2;11.5;6.2;11.5;6.2;6.2;6.2;6.2;11.5;6.2;6.2;6.2;6.2;6.2;6.2;11.5;11.5;6.2;6.2;6.2;6.2;32.75;6.2;6.2;6.2;11.5;11.5;6.2;11.5;6.2;6.2;6.2;6.2;11.5;6.2;6.2;6.2;6.2;32.75;11.5;6.2;6.2;32.75;6.2;6.2;6.2;6.2;11.5;6.2;11.5;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;11.5;6.2;6.2;11.5;6.2;6.2;6.2;11.5;6.2;11.5;11.5;6.2;6.2;11.5;11.5;6.2;11.5;6.2;6.2;6.2;11.5;6.2;6.2;6.2;6.2;
TaskPerf;0.215;0.184286;0.155714;0.258;0.215;0.115;0.138;0.148333;0.258;0.212857;0.181667;0.2725;0.098;0.138;0.248333;0.248333;0.248333;0.178;0.248333;0.178;0.115;0.218;0.138;0.218;0.098;0.215;0.098;0.178;0.218;0.178;0.178;0.258;0.181667;0.248333;0.098;0.218;0.218;0.098;0.3225;0.138;0.178;0.178;0.248333;0.215;0.298;0.248333;0.178;0.098;0.218;0.178;0.181667;0.138;0.258;0.298;0.218;0.3225;0.181667;0.058;0.258;0.3725;0.138;0.178;0.218;0.298;0.181667;0.258;0.148333;0.258;0.258;0.138;0.098;0.138;0.138;0.298;0.138;0.148333;0.138;0.258;0.215;0.218;0.218;0.258;0.148333;0.258;0.215;0.215;0.178;0.138;0.181667;0.148333;0.258;0.215;0.178;0.138;0.138;0.148333;0.178;0.138;0.138;0.298;
TaskPerfAv;0.174772
Variance;3539
MeanSquareDeviation;59.4895

